m,y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio
3.0,2008,Seaton Valley Stream,3.0,2.0,1214.71,125.0,2403.0,3.0,2.0,2,0
3.0,2008,Seaton Valley Stream,2.59,2.21,1217.23,125.0,2403.15,2.574,1.787,1,0
3.0,2008,Seaton Valley Stream,2.59,2.21,1217.23,125.0,2403.15,2.574,1.787,2,0
3.0,2008,Unnamed Stream Hortons Valley,1.35,2.83,1198.62,123.08,2405.8,1.306,1.153,2,0
2.0,2010,Unnamed stream Waimea Inlet,1.0,3.0,1216.39,124.56,2403.5,1.0,1.0,4,0
2.0,2010,Unnamed stream Waimea Inlet,1.0,3.0,1225.87,124.11,2402.32,1.0,1.0,4,0
2.0,2010,Unnamed stream Waimea Inlet,1.0,3.0,1225.87,124.11,2402.32,1.0,1.0,5,0
4.0,2008,Waiwhero Creek,1.14,3.51,1182.94,121.95,2409.75,1.061,1.031,1,0
8.0,2008,Dove River tributary,2.77,3.77,1167.64,118.11,2399.64,2.714,1.571,2,1
4.0,2009,Waikakaho River,3.31,3.15,1263.39,124.94,2394.86,2.877,1.715,4,0
4.0,2009,Waikakaho River,2.76,3.76,1187.28,118.69,2386.11,2.918,1.909,3,0
4.0,2009,Pukaka Stream,2.67,3.67,1165.17,121.32,2371.9,2.918,1.0,5,1
4.0,2009,Onamalutu River,2.63,3.63,1248.27,119.65,2397.97,2.748,1.597,2,1
4.0,2009,Omaka River,3.54,2.08,1338.84,121.4,2405.3,3.666,2.0,3,0
2.0,2009,Pelorus River tributary,3.0,4.0,1087.8,114.9,2375.21,3.0,1.0,1,0
2.0,2009,Pelorus River tributary,2.67,3.37,1115.59,120.68,2378.26,2.679,1.105,3,1
1.0,2009,Branch River,3.03,3.97,1357.92,113.42,2397.41,3.016,1.016,2,0
1.0,2009,Spring Creek tributary,4.0,2.67,1254.39,126.0,2390.77,4.0,2.0,0,0
3.0,2009,Boundary Stream,4.68,2.37,1197.9,125.31,2356.37,3.671,2.0,1,0
